"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1788573319270436918","Thu May 09 14:14:44 +0000 2024","0","indihome sama indosat lagi kenapasiii https://t.co/NrxcOtbjrk","1788573319270436918","https://pbs.twimg.com/ext_tw_video_thumb/1788573178236997632/pu/img/xcLNAqBqg7SWKTFG.jpg","","in","","0","1","0","https://x.com/piooldyy/status/1788573319270436918","1737809243179487232","piooldyy"
"1788491605215007109","Thu May 09 08:50:01 +0000 2024","84","Wkwkkwkwk soodam langganan indihome. Pantesan sering loading https://t.co/EytnNNemay","1788491605215007109","https://pbs.twimg.com/media/GNH_odTbQAAISX7.jpg","","in","","1","3","9","https://x.com/ZiardanDan/status/1788491605215007109","1523320220399529985","ZiardanDan"
"1788915299095597521","Fri May 10 12:53:38 +0000 2024","4","napa lagi dah ini indihome https://t.co/iBo52hqj2I","1788915299095597521","https://pbs.twimg.com/media/GNOA9kDaIAADhA-.jpg","","in","My lovely Bedroom","0","1","0","https://x.com/AriaNurazky/status/1788915299095597521","1259823543052668931","AriaNurazky"
"1788495407221498015","Thu May 09 09:05:08 +0000 2024","0","Indihome Bandung Promo GRATIS BIAYA PASANG Hub 081219395467 #indihome #indihomebandung https://t.co/xVBuAmYx06","1788495407221498015","https://pbs.twimg.com/ext_tw_video_thumb/1788495187100192768/pu/img/bQi6EScge8H4i5kl.jpg","","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/daptarindihome/status/1788495407221498015","1030414566251884546","daptarindihome"
"1788721131203219458","Fri May 10 00:02:05 +0000 2024","0","Sampai Indihome pun belum masuk apalagi ISP lain Status exit tol kayaknya memang belum berefek apapun selain di kenaikan harga tanah Memang disuruh beli Starlink kayaknya Bang @elonmusk minta diskon dong https://t.co/AZpn9Lqm08","1788721131203219458","https://pbs.twimg.com/media/GNLQYZna4AAwyl9.jpg","","in","MGW - DLG","1","2","0","https://x.com/nairfle/status/1788721131203219458","170707105","nairfle"
"1788939921232916774","Fri May 10 14:31:28 +0000 2024","5","tiap hari mau marah aja sama indihome kekkkkk mahal doang tapi ga pernah improve asu","1788939921232916774","","","in","Jakarta","0","3","0","https://x.com/helmGundam/status/1788939921232916774","1340502710127190016","helmGundam"
"1788534195717063007","Thu May 09 11:39:16 +0000 2024","1","Gara-gara gangguan signal dan indihome perbaikan jadi nemu ada film sebagus ini di laptop","1788534195717063007","","","in","Indonesia","0","1","0","https://x.com/mutiara_sy/status/1788534195717063007","102329429","mutiara_sy"
"1788609172210336100","Thu May 09 16:37:12 +0000 2024","0","Dah waktu.a balik pake xl by.u ama indihome burik keak taik.","1788609172210336100","","","in","","0","0","0","https://x.com/engarlde/status/1788609172210336100","1368782732","engarlde"
"1788871691822895612","Fri May 10 10:00:21 +0000 2024","2","Ganti myrepublic dari indihome sama aja njir gangguan terus","1788871691822895612","","","in","Indonesia","0","1","0","https://x.com/bukanmatchalah_/status/1788871691822895612","556663545","bukanmatchalah_"
"1788783624197935223","Fri May 10 04:10:24 +0000 2024","3","Selalu ada aja dramanya kalau mau pulang cepet #corporatelife #work #indihome #indihomebytelkomsel https://t.co/hIaG8JlK50","1788783624197935223","https://pbs.twimg.com/ext_tw_video_thumb/1788783563355385856/pu/img/7DHIc1I-i_Dfwiyq.jpg","","in","Semarang Tengah, Indonesia","0","0","0","https://x.com/SMGindihome/status/1788783624197935223","1093723147654688768","SMGindihome"
"1788108534171021470","Wed May 08 07:27:50 +0000 2024","3","Harus jungkir balik gaya apa lagi nih biar konten FYP terus ? #corporatemillennial #contentcreator #graphicdesign #videoeditor #kerja #indihome #indihomebytelkomsel https://t.co/wRRUSMJbKe","1788108534171021470","https://pbs.twimg.com/ext_tw_video_thumb/1788108499119185920/pu/img/KNrY4LbzEZL_b_ad.jpg","","in","Semarang Tengah, Indonesia","0","0","0","https://x.com/SMGindihome/status/1788108534171021470","1093723147654688768","SMGindihome"
"1788333739078197722","Wed May 08 22:22:43 +0000 2024","1","Bangun tidur tuh kumpulin nyawa dulu kek. Ini main transfer duit aja. Dr yg sebelumnya mau bayar Indihome malah transfer ke rekening pacar sendiri ","1788333739078197722","","","in","Fort Rotterdam","0","2","0","https://x.com/brigitta_hadid/status/1788333739078197722","1274745313144631297","brigitta_hadid"
"1788872312747626769","Fri May 10 10:02:49 +0000 2024","2","SUMPAH INI INDIHOME YA LAMPU LOS NYA NYALA MERAH NAH NYOBA TELEFON GA DIJAWABB ANJROTT TERUS HARUS GMN??? TOLONG INDIHOME......","1788872312747626769","","","in","jangan stress ","0","1","0","https://x.com/jekhamzz/status/1788872312747626769","1458644139650682883","jekhamzz"
"1788593716573393208","Thu May 09 15:35:47 +0000 2024","0","Oh baru inget tsel sm indihome gabung ya pantesan sinyal dua duanya keak puki","1788593716573393208","","","in","","0","2","0","https://x.com/engarlde/status/1788593716573393208","1368782732","engarlde"
